Videojuego_Id,Empresa_Id
92692,197568
81291,59924
81291,59925
81291,96383
186380,160729
186380,160744
219380,189536
92706,218323
107264,69231
46412,220357
46412,220358
41827,51585
41827,194622
41827,194623
42230,161158
42230,161159
230167,198584
90953,63353
90953,157973
90953,157974
90953,157975
90953,157976
179475,155736
139590,111213
19146,35248
19146,35249
197956,167974
69953,212520
83426,231164
22871,115438
142557,117197
27776,45165
15311,59939
194380,165584
17435,33776
209380,210909
27323,151621
83948,167435
9552,22889
156494,155074
67860,63750
67860,63751
67860,63752
144284,120576
144284,120577
134631,101651
2870,34632
2870,34633
2870,34634
162318,170695
162318,170696
248380,212748
22536,61190
241040,208507
241040,208508
241040,208509
92138,211767
117733,78049
2327,100178
2327,100179
2327,100180
2327,224708
256807,222993
256807,222994
42546,155435
42546,155436
42546,161944
186594,160899
203749,173990
43536,53656
43536,53657
222553,191595
3380,8821
3380,119686
141905,160918
9158,215662
89889,105800
89889,105801
41338,55714
139860,144363
139860,144364
56546,126589
56546,126590
144860,122130
144860,122131
60380,196205
51536,104274
139621,111262
83324,150795
19281,47009
19281,176004
199010,169872
196933,174183
132027,95186
132027,95187
190880,163325
79536,139490
158281,144972
158281,144973
78338,61119
123536,173618
92536,174352
92536,174353
93546,188030
42236,161147
37891,161175
37895,161169
68380,54555
144247,157778
115546,75049
35288,217118
72380,55254
72380,55255
72380,55256
13618,27142
45296,120875
45296,120876
165536,146825
51353,103804
24870,93248
188215,176929
78239,87981
78239,87982
78239,87983
121570,110012
89289,100811
132700,131444
132700,131446
34615,51668
120546,81557
131546,99827
113475,72502
155546,151692
155546,151693
248772,213525
188546,209182
238772,219687
151693,203023
151693,203024
146546,127388
146546,127389
266504,231243
13795,27625
13795,54870
13795,54871
53058,63283
53058,132153
128436,90438
241860,207516
21536,200536
21536,200537
21536,200538
78380,65543
78380,162692
78380,162693
198546,169270
114703,73842
131380,93498
131380,93499
113902,115857
40099,117061
27293,44382
95380,79753
119380,81028
114733,73884
13113,26708
13113,42806
13113,143486
714,1634
714,1635
6565,15604
14770,28625
129158,91903
129158,91904
129158,91905
115336,92896
115336,131640
115336,131641
36726,50844
49851,196398
132158,96208
132158,96209
31553,71092
31553,73100
171497,194721
183536,164545
9413,47977
15377,29319
56589,58845
155002,158841
248546,214387
248546,214388
92596,217630
92596,217631
38795,67383
38795,67384
152380,139201
190536,192571
17424,170246
17424,198831
39795,144739
39795,144740
39795,144741
255380,221515
255546,221692
247453,212174
53795,150466
53795,150467
231111,203883
228546,227107
198370,168823
198370,168824
221783,191012
221783,191013
132044,198582
203467,173777
26224,64206
26224,64575
26224,64576
26224,132713
201467,222729
16413,30703
16413,38418
120417,135684
18413,33914
18413,33915
18413,226697
119399,80972
228923,196575
15836,29893
22413,38351
228855,196416
228855,223120
36907,50573
102795,65142
143861,123648
64602,190043
125708,87872
125708,87873
117547,78286
69143,85073
54565,137215
54565,137216
7071,16715
7071,16716
7071,16717
7071,20083
198998,169859
199005,169867
33777,49249
209926,179389
249506,214647
92302,165441
199002,169864
144795,140629
144270,120544
144270,120545
140467,111543
154795,173366
154795,173367
10675,23854
10675,92088
261137,226601
261137,226602
199006,169868
221607,190838
88032,172372
209928,179393
18675,34488
18675,227184
157795,144778
157795,144779
19675,230235
19675,230236
19675,230237
217641,187132
9381,22734
206907,177419
206907,177420
77961,104139
198234,168498
38381,113593
38381,113594
61413,84068
24675,40306
24675,40307
248795,213587
248795,213588
62413,215209
78575,127340
78575,127341
78575,127342
114548,74569
159048,142301
253795,220053
72615,214315
63413,191197
63413,191198
63413,191199
116446,75945
254795,220882
26675,131960
26675,131961
199014,169876
199019,169883
207016,177533
241528,207317
241528,207318
94413,145748
94413,145749
199013,169875
34216,49292
34216,68386
34216,68387
150575,137098
153652,140312
12381,26283
12381,26284
12381,26285
12381,26286
41381,148908
41381,148909
46465,83299
46465,83300
7245,17142
7245,17143
7245,17144
31077,48373
91358,183403
34667,69141
34667,69142
34667,133871
34667,133872
37465,145384
198575,169322
139480,159189
18381,33873
135413,158837
26245,42436
26245,42437
154413,140857
247575,212342
57675,127858
57675,218293
212575,181612
116347,229457
116729,114566
116729,114567
106675,68355
178413,155198
20381,37535
20381,37536
20381,37537
117620,105488
217575,186945
195872,174577
134675,103781
180675,156199
195094,166905
195094,166906
245664,210565
245664,210567
230575,199117
230575,199118
